,id,time_post,time_parse,link,city,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,district,street,house_number,underground,Холодильник,Стиральная машина,Телевизор,Ванна,Мебель на кухне,Посудомоечная машина,Кондиционер,Интернет,Душевая кабина,Мебель в комнатах,Жилая площадь,Площадь кухни,Высота потолков,Планировка,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Аварийность,Парковка
0,294789239,25/11/2023  14:19,27/11/2023 06:14,https://spb.cian.ru/rent/flat/294789239/,Санкт-Петербург,7,12,1,32.0,1087,34800,Приморский,Планерная ,87к1,Комендантский проспект,1,1,1,0,1,1,0,1,0,1,12.7,11,2.6,,1.0,1 лоджия,Во двор,Евроремонт,2022,,Нет,
1,294881838,14/11/2023  15:14,27/11/2023 06:16,https://spb.cian.ru/rent/flat/294881838/,Санкт-Петербург,3,9,1,38.0,1447,55000,Московский,Черниговская ,13к2,Московские ворота,1,1,1,1,1,0,0,1,0,1,,,,,,,,Евроремонт,2022,,Нет,Наземная
2,291061597,25/11/2023  20:17,27/11/2023 06:17,https://spb.cian.ru/rent/flat/291061597/,Санкт-Петербург,6,12,1,36.0,694,25000,Василеостровский,проспект Кима,30,Приморская,1,0,0,1,1,0,0,0,0,1,19,11,,,1.0,1 лоджия,Во двор,Косметический,1968,,Нет,Наземная
3,289912318,12/11/2023  17:41,27/11/2023 06:19,https://spb.cian.ru/rent/flat/289912318/,Санкт-Петербург,15,18,1,33.0,1636,54000,Фрунзенский, Салова,61,Бухарестская,1,1,1,1,1,1,1,1,1,1,,,2.5,,,"1 лоджия, 1 балкон",,,,Монолитный,,Наземная
4,295522288,26/11/2023  11:57,27/11/2023 06:19,https://spb.cian.ru/rent/flat/295522288/,Санкт-Петербург,2,10,1,43.5,728,31700,Невский, Коллонтай,28К1,Проспект Большевиков,1,1,0,1,1,0,0,0,0,1,17.8,11,2.8,,1.0,,Во двор,Евроремонт,2000,Кирпичный,Нет,
5,295410238,25/11/2023  19:34,27/11/2023 06:21,https://spb.cian.ru/rent/flat/295410238/,Санкт-Петербург,9,9,1,37.0,351,13000,Красносельский, Освобождения,31к1,Проспект Ветеранов,0,1,0,0,1,0,0,1,0,1,18,11,2.6,,1.0,1 лоджия,Во двор,Косметический,2011,,Нет,
6,293543277,26/11/2023  20:42,27/11/2023 06:22,https://spb.cian.ru/rent/flat/293543277/,Санкт-Петербург,3,5,1,42.3,1418,60000,Адмиралтейский,набережная Канала Грибоедова,119-121,Спасская,1,1,1,0,1,1,0,1,1,1,28,8,3.м,,1.0,,Во двор,Евроремонт,1912,Кирпичный,Нет,Наземная
7,283340074,18/11/2023  16:03,27/11/2023 06:24,https://spb.cian.ru/rent/flat/283340074/,Санкт-Петербург,1,2,1,12.0,2250,27000,Центральный,Лиговский проспект,50к7,Площадь Восстания,1,1,0,0,1,0,0,0,0,1,8,3,,,,,,Косметический,,,,
8,295421016,24/11/2023  07:20,27/11/2023 06:25,https://spb.cian.ru/rent/flat/295421016/,Санкт-Петербург,4,5,1,31.5,476,15000,Московский,Витебский проспект,61К2,Звездная,1,1,1,1,1,0,0,0,0,1,17,5.5,2.5,,1.0,1 балкон,На улицу,Косметический,1965,Блочный,Нет,Наземная
9,293950425,21/11/2023  14:38,27/11/2023 06:26,https://spb.cian.ru/rent/flat/293950425/,Санкт-Петербург,3,5,1,42.0,1785,75000,Центральный,площадь Островского,9,Гостиный двор,1,1,1,0,1,0,1,1,0,1,25,9,,,,,,Дизайнерский,1887,Кирпичный,Нет,Наземная
10,293422318,21/11/2023  14:50,27/11/2023 06:28,https://spb.cian.ru/rent/flat/293422318/,Санкт-Петербург,3,21,1,34.0,1176,40000,Московский,Витебский проспект,101к1,Купчино,1,1,1,0,1,0,1,1,0,1,20,9,,,1.0,,На улицу и двор,Евроремонт,,Монолитно-кирпичный,,Многоуровневая
11,295277752,20/11/2023  14:11,27/11/2023 06:29,https://spb.cian.ru/rent/flat/295277752/,Санкт-Петербург,1,12,1,35.4,508,18000,Выборгский,Манчестерская ,16,Удельная,1,1,1,1,1,0,0,0,0,1,20.9,6.8,2.5,,1.0,,Во двор,Косметический,1968,Кирпичный,Нет,
