,id,time_post,time_parse,link,city,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,district,street,house_number,underground,Холодильник,Стиральная машина,Телевизор,Ванна,Мебель на кухне,Посудомоечная машина,Кондиционер,Интернет,Душевая кабина,Мебель в комнатах,Жилая площадь,Площадь кухни,Высота потолков,Планировка,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Аварийность,Парковка
0,295713643,28/11/2023  12:28,28/11/2023 12:49,https://spb.cian.ru/rent/flat/295713643/,Ленобласть,2,2,3,84.0,654,55000,Тосненский, Кленовая,14,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1,295699045,28/11/2023  02:24,28/11/2023 12:51,https://spb.cian.ru/rent/flat/295699045/,Ленобласть,5,9,3,62.0,629,39000,Сосновый Бор, Машиностроителей,2,,1,1,1,1,1,0,0,0,0,1,40,6.5,2.5,,1.0,1 лоджия,Во двор,Косметический,1981,Панельный,Нет,Наземная
2,295568446,26/11/2023  03:26,28/11/2023 12:52,https://spb.cian.ru/rent/flat/295568446/,Ленобласть,5,5,3,71.2,1264,90000,Кингисеппский,пос. Усть-Луга,26,,1,1,1,1,1,0,0,1,0,1,,14,,Изолированная,1.0,1 лоджия,,Косметический,2002,,Нет,
3,295542378,27/11/2023  20:10,28/11/2023 12:53,https://spb.cian.ru/rent/flat/295542378/,Ленобласть,4,12,3,76.0,723,55000,Всеволожский,проспект Строителей,5,Улица Дыбенко,1,1,1,1,1,1,0,1,0,1,45,18,,Изолированная,1.0,1 лоджия,На улицу и двор,Дизайнерский,2023,Кирпичный,Нет,Наземная
4,295434167,24/11/2023  10:48,28/11/2023 12:54,https://spb.cian.ru/rent/flat/295434167/,Ленобласть,1,5,3,66.0,484,32000,Кириши,Плавницкий бульвар,18,,1,1,1,0,1,0,0,1,0,1,43,9,2.5,,1.0,1 лоджия,Во двор,Косметический,1983,Панельный,Нет,
5,295416116,23/11/2023  18:05,28/11/2023 12:55,https://spb.cian.ru/rent/flat/295416116/,Ленобласть,4,10,3,74.0,405,30000,,Колтушское шоссе,80к1,Улица Дыбенко,1,1,0,1,1,0,0,0,0,1,47.5,9,2.6,Смежная/Изолированная,1.0,1 лоджия,,Косметический,1992,Панельный,Нет,
6,295395818,26/11/2023  22:46,28/11/2023 12:56,https://spb.cian.ru/rent/flat/295395818/,Ленобласть,2,5,3,65.0,446,29000,,,,,1,1,0,1,1,1,0,1,0,1,,,,Изолированная,1.0,1 балкон,На улицу и двор,Евроремонт,1972,Панельный,Нет,
7,295291988,20/11/2023  18:46,28/11/2023 12:57,https://spb.cian.ru/rent/flat/295291988/,Ленобласть,11,16,3,80.0,437,35000,Всеволожский, Оранжевая,3к1,,0,0,0,0,0,0,0,0,0,0,50,12.5,2.7,Смежная/Изолированная,1.0,1 балкон,На улицу и двор,Косметический,2015,Панельный,Нет,
8,295279694,27/11/2023  15:25,28/11/2023 12:58,https://spb.cian.ru/rent/flat/295279694/,Ленобласть,9,9,3,60.0,650,39000,Сосновый Бор,Молодежная ,16,,1,1,0,1,1,0,0,1,0,1,40,6.5,2.5,,1.0,1 лоджия,Во двор,Косметический,1985,Панельный,Нет,Наземная
9,295274362,24/11/2023  19:29,28/11/2023 12:59,https://spb.cian.ru/rent/flat/295274362/,Ленобласть,2,16,3,80.0,656,52500,Всеволожский,бульвар Менделеева,5К1,Девяткино,1,1,0,0,0,0,0,0,0,0,,,,,1.0,2 балкона,На улицу,Евроремонт,2014,Кирпичный,Нет,Открытая
