,underground,m_lat,m_long
0,Ломоносовская,59.877335,30.441695
1,Академическая,60.012719,30.396133
2,Приморская,59.94846,30.234607
3,Пролетарская,59.865122,30.470324
4,Беговая,59.988005,30.202609
5,Шушары,59.820042,30.432865
6,Звездная,59.83328,30.349447
7,Проспект Просвещения,60.051176,30.332676
8,Фрунзенская,59.906179,30.31753
9,Электросила,59.879164,30.318707
10,Улица Дыбенко,59.907437,30.483368
11,Выборгская,59.971006,30.347309
12,Лесная,59.984769,30.344363
13,Комендантский проспект,60.008716,30.258385
14,Ладожская,59.932428,30.439198
15,Обводный канал,59.914714,30.349699
16,Международная,59.870208,30.379298
17,Московские ворота,59.892098,30.317961
18,Василеостровская,59.94252,30.278274
19,Автово,59.867281,30.260999
20,Новочеркасская,59.928916,30.411485
21,Пионерская,60.002517,30.296671
22,Парнас,60.066913,30.334023
23,Гражданский проспект,60.034829,30.418195
24,Площадь Восстания,59.931522,30.360568
25,Рыбацкое,59.830856,30.500319
26,Черная речка,59.985521,30.30083
27,Московская,59.852018,30.322399
28,Спортивная,59.95019,30.288335
29,Ленинский проспект,59.850712,30.268356
30,Проспект Ветеранов,59.841961,30.252115
31,Проспект Большевиков,59.919865,30.466713
32,Площадь Мужества,59.99971,30.366614
33,Дунайская,59.839863,30.410874
34,Нарвская,59.901111,30.275004
35,Купчино,59.829807,30.375453
36,Озерки,60.037144,30.321869
37,Проспект Славы,59.856614,30.39545
38,Девяткино,60.050282,30.442674
39,Балтийская,59.907207,30.299725
40,Парк Победы,59.866459,30.321851
41,Площадь Александра Невского,59.923563,30.383421
42,Старая Деревня,59.989391,30.25516
43,Елизаровская,59.896644,30.423774
44,Удельная,60.016681,30.315617
