,floor,floors_count,total_meters,price_per_month,district,underground,Холодильник,Стиральная машина,Телевизор,Посудомоечная машина,Кондиционер,Интернет,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Парковка,time_to_rent
0,25,25,39.0,35000,Фрунзенский,Проспект Славы,1.0,1.0,0.0,0.0,0.0,1.0,12.0,2.7,1.0,1 лоджия,На улицу и двор,Косметический,2017.0,Панельный,Наземная,1
1,2,5,35.0,19000,Невский,Ломоносовская,1.0,1.0,1.0,0.0,0.0,1.0,7.0,2.5,1.0,1 балкон,На улицу,Косметический,1979.0,Панельный,Наземная,7
2,4,5,32.0,30000,Приморский,Пионерская,1.0,1.0,0.0,0.0,0.0,1.0,4.7,2.5,1.0,1 балкон,Во двор,Косметический,1962.0,Панельный,Наземная,6
3,6,17,42.0,20000,Красногвардейский,Улица Дыбенко,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.7,1.0,нет балкона,Во двор,Косметический,1982.0,Панельный,Наземная,6
4,4,5,36.0,30000,Приморский,Черная речка,1.0,1.0,0.0,0.0,0.0,0.0,6.5,2.6677996422182466,1.0,1 балкон,На улицу,Косметический,1962.0,Кирпичный,Наземная,1
5,9,14,32.0,42000,Невский,Ломоносовская,1.0,1.0,0.0,0.0,0.0,0.0,15.0,2.7,1.0,1 балкон,Во двор,Евроремонт,2021.0,Кирпичный,Наземная,1
6,5,10,38.8,19000,Красносельский,Проспект Ветеранов,1.0,1.0,1.0,0.0,0.0,1.0,8.2,2.6,1.0,1 лоджия,На улицу,Косметический,2011.0,Монолитно-кирпичный,Наземная,1
7,2,8,53.0,45000,Василеостровский,Василеостровская,1.0,1.0,1.0,1.0,1.0,1.0,12.0,3.0,1.0,1 лоджия,Во двор,Евроремонт,2011.0,Кирпичный,Наземная,7
8,10,25,36.0,32000,Приморский,Комендантский проспект,1.0,1.0,0.0,0.0,0.0,1.0,17.0,2.7,1.0,1 лоджия,Во двор,Евроремонт,2022.0,Монолитно-кирпичный,Наземная,6
9,4,5,32.5,22000,Петродворцовый,нет метро,1.0,1.0,1.0,0.0,0.0,0.0,7.5,2.6677996422182466,1.0,1 балкон,Во двор,Евроремонт,1975.0,Кирпичный,Наземная,7
10,2,19,36.0,28000,Московский,Московская,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.6677996422182466,1.0,нет балкона,На улицу,Косметический,2012.0,Панельный,Открытая,7
11,3,12,35.5,32000,Выборгский,Удельная,1.0,1.0,0.0,0.0,0.0,1.0,7.4,2.5,1.0,нет балкона,Во двор,Косметический,1968.0,Кирпичный,Наземная,6
12,5,19,42.0,26000,Приморский,Комендантский проспект,1.0,1.0,1.0,0.0,0.0,1.0,10.5,2.8,1.0,1 лоджия,Во двор,Евроремонт,2014.0,Панельный,Подземная,0
13,3,9,50.6,55000,Центральный,Лиговский проспект,1.0,1.0,1.0,1.0,1.0,1.0,16.0,2.6677996422182466,1.0,1 балкон,На улицу,Евроремонт,2014.0,Кирпичный,Многоуровневая,6
